Method:,Column 1,Built-In Reference,,,Model Name,NIR-M-R1
Host Date-Time:,5/11/20 @ 14:45:24,5/12/16 @ 9:29:23,,,GUI Version,2.1.0.50
Header Version:,1,1,,,Tiva Version,2.1.0.67
System Temp (C):,37.19,23.93,,,DLPC Version,2.0.0
Detector Temp (C),0,22.13,,,UUID,D6:65:30:66:A2:17:21:28
Humidity (%):,33.68,82.7,,,Main Board Version,B
Lamp PD:,1537,1725
Shift Vector Coefficients:,-5.25325212421393,0.0425285735769367,-8.60000960807872E-05
Pixel to Wavelength Coefficients:,1758.93794361149,-0.907485523783061,-0.000255557021500057
Serial Number:,6170019,6170019
Scan Config Name:,Column 1,SystemTest
Scan Config Type:,Column,Column
Start wavelength (nm):,900,900
End wavelength (nm):,1700,1700
Pattern Pixel Width (nm):,7.03,7.03
Exposure (ms):,0.635,0.635
Digital Resolution:,228,228
Total Digital Resolution:,228,228
Num Repeats:,6,30
PGA Gain:,64,64
Total Measurement Time in sec:,2.9951713
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1527.965987803,0.697557756704647,513338,103002
1531.05184645893,0.692960032954556,507296,102873
1534.13310508846,0.692982727964228,501020,101595
1537.20976369161,0.68990879672382,494323,100949
1540.28182226837,0.689234297759689,487948,99802
1544.37074477412,0.686624509882304,478629,98486
1547.43206995597,0.684501669958392,471193,97431
1550.48879511145,0.682865068584613,464198,96347
1553.54092024053,0.681176377147375,456623,95144
1556.58844534323,0.678412198451428,449248,94205
1559.63137041954,0.675651437393547,441402,93150
1562.66969546946,0.673852972239035,433731,91911
1566.71363993942,0.672006482095074,422958,90010
1569.74123159444,0.670342354161211,415344,88729
1572.76422322308,0.667834950882478,407247,87503
1575.78261482532,0.664160363004273,399164,86495
1578.79640640118,0.66290041562728,391156,85006
1581.80559795065,0.659367835048028,383140,83944
1584.81018947374,0.657185872313933,375030,82581
1588.80915590792,0.652723888932135,364207,81026
1591.8030140361,0.653299831548285,355657,79019
1594.7922721379,0.646410485469595,346963,78320
1597.7769302133,0.645655056757306,338926,76639
1600.75698826233,0.642559312082133,331008,75384
1603.73244628496,0.638187992945583,323233,74358
1606.70330428121,0.63593827615632,315474,72950
1609.66956225107,0.635575692223032,307809,71237
1613.61741728095,0.630212926618575,297237,69645
1616.5729418559,0.626668920019585,289606,68413
1619.52386640447,0.624423644390546,281366,66811
1622.47019092666,0.624335048243896,273376,64927
1625.41191542245,0.620144641832382,265530,63675
1628.34903989186,0.617611101207348,257518,62115
1631.28156433488,0.615487407661861,249830,60556
1635.18444132898,0.611716855400468,239605,58584
1638.1062323771,0.608152562884186,232077,57211
1641.02342339883,0.605947782553138,224416,55604
1643.93601439417,0.601721048939172,216459,54157
1646.84400536313,0.60390715970139,208754,51967
1649.7473963057,0.596969879588549,200350,50678
1652.64618722189,0.597788425680321,191923,48455
1656.5040861802,0.583168617190594,179289,46815
1659.39214370148,0.574436654316548,168810,44974
1662.27560119637,0.562395819591932,156728,42929
1665.15445866488,0.546398449852559,143322,40730
1668.028716107,0.521932792298244,128716,38699
1670.89837352273,0.49483805912774,113450,36305
1673.76343091208,0.461076038189711,97751,33810
1677.57635183461,0.424168296044591,79276,29852
1680.43067582905,0.404132033596768,67001,26421
1683.28039979711,0.391549747077057,56298,22853
1686.12552373878,0.380889240027844,47438,19735
1688.96604765406,0.376813036594443,39820,16722
1691.80197154295,0.37938916550848,33673,14057
1694.63329540546,0.385559198980172,28598,11770
1698.4012382922,0.392125474584037,23148,9384
1701.22182875981,0.409763908226149,19938,7761
